[INFO][07-23-2017 09:56:44][DuncteBot]: Logging to: D:\eclipse\skybot\logs\log_7-23_095643.log
[INFO][07-23-2017 09:57:10][DuncteBot]: Logged in as duncte123's bot
[INFO][07-23-2017 09:57:31][DuncteBotCommand]: User duncte123#1245 ran command /join
[INFO][07-23-2017 09:57:31][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 09:57:38][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 09:57:45][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 09:58:16][DuncteBotCommand]: User duncte123#1245 ran command /np
[INFO][07-23-2017 09:58:16][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 09:58:19][DuncteBotMessage]: Message from user duncte123#1245: Yep
[INFO][07-23-2017 09:58:23][DuncteBotMessage]: Message from user duncte123#1245: I broke it
[INFO][07-23-2017 09:58:25][DuncteBotCommand]: User duncte123#1245 ran command /stop
[INFO][07-23-2017 09:58:25][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 09:58:29][DuncteBotCommand]: User duncte123#1245 ran command /leavr
[INFO][07-23-2017 09:58:32][DuncteBotCommand]: User duncte123#1245 ran command /leave
[INFO][07-23-2017 09:58:33][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 09:58:39][DuncteBotCommand]: User duncte123#1245 ran command /shutdown
